Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
209,5/1/2018 0:16,5/1/2018 0:19,31204,20th & E St NW,31275,New Hampshire Ave & 24th St NW,W21180,Member
160,5/1/2018 0:16,5/1/2018 0:19,31223,Convention Center / 7th & M St NW,31636,New Jersey Ave & N St NW/Dunbar HS,W01057,Member
1173,5/1/2018 0:18,5/1/2018 0:37,31609,Maine Ave & 7th St SW,31807,Pleasant St & MLK Ave SE,W22911,Member
314,5/1/2018 0:19,5/1/2018 0:24,31111,10th & U St NW,31203,14th & Rhode Island Ave NW,W23430,Member
5012,5/1/2018 0:19,5/1/2018 1:43,31084,Ballenger Ave & Dulaney St,31084,Ballenger Ave & Dulaney St,W22283,Casual
1595,5/1/2018 0:21,5/1/2018 0:48,31216,14th St & New York Ave NW,31220,US Dept of State / Virginia Ave & 21st St NW,W22926,Member
515,5/1/2018 0:21,5/1/2018 0:30,31291,Vermont Ave & I St NW,31281,8th & O St NW,W00472,Member
1073,5/1/2018 0:24,5/1/2018 0:42,31235,19th St & Constitution Ave NW,31108,4th & M St SW,W00788,Member
563,5/1/2018 0:25,5/1/2018 0:34,31623,Columbus Circle / Union Station,31500,4th & W St NE,W20286,Member
327,5/1/2018 0:26,5/1/2018 0:31,31308,39th & Veazey St NW,31302,Wisconsin Ave & Newark St NW,W00760,Casual
338,5/1/2018 0:26,5/1/2018 0:31,31234,20th & O St NW / Dupont South,31225,C & O Canal & Wisconsin Ave NW,W20715,Member
2788,5/1/2018 0:26,5/1/2018 1:13,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31515,Fort Totten Metro,W21175,Member
86,5/1/2018 0:27,5/1/2018 0:28,31123,14th & Girard St NW,31124,14th & Irving St NW,W00811,Member
594,5/1/2018 0:27,5/1/2018 0:37,31104,Adams Mill & Columbia Rd NW,31400,Georgia & New Hampshire Ave NW,W21819,Member
191,5/1/2018 0:27,5/1/2018 0:30,31020,Wilson Blvd & Franklin Rd,31030,Lee Hwy & N Adams St,W00663,Member
482,5/1/2018 0:28,5/1/2018 0:36,31022,Clarendon Metro / Wilson Blvd & N Highland St,31030,Lee Hwy & N Adams St,W22818,Member
721,5/1/2018 0:28,5/1/2018 0:40,31267,17th St & Massachusetts Ave NW,31519,1st & O St NW,W22236,Member
1823,5/1/2018 0:29,5/1/2018 0:59,31260,23rd & E St NW ,31246,M St & Pennsylvania Ave NW,W22621,Casual
385,5/1/2018 0:29,5/1/2018 0:36,31022,Clarendon Metro / Wilson Blvd & N Highland St,31030,Lee Hwy & N Adams St,W00293,Casual
375,5/1/2018 0:32,5/1/2018 0:38,31288,4th St & Madison Dr NW,31108,4th & M St SW,W22286,Member
12531,5/1/2018 0:32,5/1/2018 4:01,31230,Metro Center / 12th & G St NW,31621,4th & D St NW / Judiciary Square,W22964,Casual
12464,5/1/2018 0:33,5/1/2018 4:00,31230,Metro Center / 12th & G St NW,31621,4th & D St NW / Judiciary Square,W01376,Casual
502,5/1/2018 0:36,5/1/2018 0:44,31628,1st & K St SE,31609,Maine Ave & 7th St SW,W00307,Member
599,5/1/2018 0:36,5/1/2018 0:46,31101,14th & V St NW,31401,14th St & Spring Rd NW,W22870,Member
426,5/1/2018 0:36,5/1/2018 0:43,31214,17th & Corcoran St NW,31281,8th & O St NW,W01173,Member
443,5/1/2018 0:41,5/1/2018 0:48,31223,Convention Center / 7th & M St NW,31238,14th & G St NW,W21343,Member
328,5/1/2018 0:42,5/1/2018 0:48,31019,Wilson Blvd & N Edgewood St,31030,Lee Hwy & N Adams St,W21109,Member
405,5/1/2018 0:43,5/1/2018 0:50,31293,31st & Water St NW,31237,25th St & Pennsylvania Ave NW,W21388,Member
930,5/1/2018 0:44,5/1/2018 0:59,31275,New Hampshire Ave & 24th St NW,31246,M St & Pennsylvania Ave NW,W01409,Casual
933,5/1/2018 0:45,5/1/2018 1:00,31110,20th St & Florida Ave NW,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,W22528,Member
602,5/1/2018 0:47,5/1/2018 0:57,31006,S Joyce & Army Navy Dr,31075,Rolfe St & 9th St S,W20050,Member
144,5/1/2018 0:48,5/1/2018 0:50,31037,Ballston Metro / N Stuart & 9th St N,31919,Carlin Springs Rd & N Thomas St,W22065,Member
671,5/1/2018 0:48,5/1/2018 0:59,31293,31st & Water St NW,31298,15th & M St NW,W20850,Member
407,5/1/2018 0:53,5/1/2018 1:00,31017,Wilson Blvd & N Uhle St,31014,Lynn & 19th St North,W21405,Casual
346,5/1/2018 0:54,5/1/2018 1:00,31101,14th & V St NW,31118,3rd & Elm St NW,W22784,Member
303,5/1/2018 0:54,5/1/2018 0:59,31275,New Hampshire Ave & 24th St NW,31246,M St & Pennsylvania Ave NW,W00827,Casual
1056,5/1/2018 1:01,5/1/2018 1:19,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31053,Columbia Pike & S Courthouse Rd,W22528,Member
1007,5/1/2018 1:02,5/1/2018 1:18,31267,17th St & Massachusetts Ave NW,31123,14th & Girard St NW,W22919,Member
412,5/1/2018 1:02,5/1/2018 1:09,31503,Florida Ave & R St NW,31603,1st & M St NE,W01097,Member
581,5/1/2018 1:04,5/1/2018 1:14,31241,Thomas Circle,31203,14th & Rhode Island Ave NW,W21125,Casual
7431,5/1/2018 1:06,5/1/2018 3:10,31314,34th & Water St NW,31236,37th & O St NW / Georgetown University,W22409,Casual
7381,5/1/2018 1:08,5/1/2018 3:11,31314,34th & Water St NW,31236,37th & O St NW / Georgetown University,W00029,Casual
1987,5/1/2018 1:08,5/1/2018 1:42,31224,19th & L St NW,31282,16th & R St NW,W22462,Member
7191,5/1/2018 1:10,5/1/2018 3:10,31314,34th & Water St NW,31236,37th & O St NW / Georgetown University,W21344,Casual
249,5/1/2018 1:13,5/1/2018 1:17,31109,7th & T St NW,31281,8th & O St NW,W22301,Member
110,5/1/2018 1:14,5/1/2018 1:15,32035,Georgia Ave & Spring St,32012,Silver Spring Metro/Colesville Rd & Wayne Ave,W21713,Member
948,5/1/2018 1:19,5/1/2018 1:35,31244,4th & E St SW,31258,Lincoln Memorial,W23483,Member
547,5/1/2018 1:22,5/1/2018 1:31,31203,14th & Rhode Island Ave NW,31256,10th & E St NW,W01269,Member
648,5/1/2018 1:24,5/1/2018 1:35,31246,M St & Pennsylvania Ave NW,31260,23rd & E St NW ,W01075,Casual
647,5/1/2018 1:24,5/1/2018 1:35,31246,M St & Pennsylvania Ave NW,31260,23rd & E St NW ,W01409,Casual
568,5/1/2018 1:26,5/1/2018 1:35,31246,M St & Pennsylvania Ave NW,31260,23rd & E St NW ,W21019,Casual
538,5/1/2018 1:26,5/1/2018 1:35,31246,M St & Pennsylvania Ave NW,31260,23rd & E St NW ,W22935,Casual
258,5/1/2018 1:27,5/1/2018 1:32,31602,Park Rd & Holmead Pl NW,31400,Georgia & New Hampshire Ave NW,W21365,Member
616,5/1/2018 1:29,5/1/2018 1:39,31624,North Capitol St & F St NW,31223,Convention Center / 7th & M St NW,W20591,Member
537,5/1/2018 1:30,5/1/2018 1:39,31624,North Capitol St & F St NW,31223,Convention Center / 7th & M St NW,W01371,Casual
539,5/1/2018 1:35,5/1/2018 1:44,32039,Old Georgetown Rd & Southwick St,32055,Woodmont Ave & Strathmore St,W00878,Member
1222,5/1/2018 1:35,5/1/2018 1:56,31258,Lincoln Memorial,31091,S Joyce & 16th St S,W23483,Member
417,5/1/2018 1:42,5/1/2018 1:49,31125,15th & W St NW,31602,Park Rd & Holmead Pl NW,W00177,Member
328,5/1/2018 1:43,5/1/2018 1:48,31203,14th & Rhode Island Ave NW,31203,14th & Rhode Island Ave NW,W00908,Casual
1540,5/1/2018 1:53,5/1/2018 2:18,31203,14th & Rhode Island Ave NW,31642,New Jersey Ave & L St NW,W21351,Casual
147,5/1/2018 1:54,5/1/2018 1:56,31623,Columbus Circle / Union Station,31639,2nd & G St NE,W21288,Member
373,5/1/2018 1:54,5/1/2018 2:01,31250,20th & L St NW,31214,17th & Corcoran St NW,W23136,Member
2959,5/1/2018 1:59,5/1/2018 2:49,31642,New Jersey Ave & L St NW,31627,3rd & M St NE,W22726,Casual
1032,5/1/2018 2:05,5/1/2018 2:22,31079,Lee Hwy & N Cleveland St,31275,New Hampshire Ave & 24th St NW,W22281,Member
7885,5/1/2018 2:06,5/1/2018 4:17,31204,20th & E St NW,31299,Connecticut Ave & R St NW,W01356,Casual
7852,5/1/2018 2:06,5/1/2018 4:17,31204,20th & E St NW,31299,Connecticut Ave & R St NW,W01029,Casual
491,5/1/2018 2:07,5/1/2018 2:15,31281,8th & O St NW,31505,Eckington Pl & Q St NE,W23391,Member
4439,5/1/2018 2:13,5/1/2018 3:27,31230,Metro Center / 12th & G St NW,31234,20th & O St NW / Dupont South,W00928,Member
1342,5/1/2018 2:22,5/1/2018 2:45,31275,New Hampshire Ave & 24th St NW,31269,3rd St & Pennsylvania Ave SE,W22281,Member
4313,5/1/2018 2:34,5/1/2018 3:46,31642,New Jersey Ave & L St NW,31637,North Capitol St & G Pl NE,W21003,Casual
667,5/1/2018 2:52,5/1/2018 3:03,31101,14th & V St NW,31602,Park Rd & Holmead Pl NW,W00678,Member
1361,5/1/2018 3:02,5/1/2018 3:25,31629,8th & East Capitol St NE,31233,17th & K St NW / Farragut Square,W20873,Member
363,5/1/2018 3:28,5/1/2018 3:34,31618,4th & East Capitol St NE,31630,15th & East Capitol St NE,W21217,Member
1700,5/1/2018 3:34,5/1/2018 4:03,31200,Massachusetts Ave & Dupont Circle NW,31302,Wisconsin Ave & Newark St NW,W22202,Member
1778,5/1/2018 3:42,5/1/2018 4:12,31908,Radford & Osage St,31013,Eads & 22nd St S,W20578,Member
285,5/1/2018 4:02,5/1/2018 4:06,31282,16th & R St NW,31125,15th & W St NW,W22576,Member
1035,5/1/2018 4:13,5/1/2018 4:30,31013,Eads & 22nd St S,31910,Potomac Ave & Main Line Blvd,W20578,Member
1245,5/1/2018 4:15,5/1/2018 4:36,31302,Wisconsin Ave & Newark St NW,31253,19th & K St NW,W01288,Member
696,5/1/2018 4:21,5/1/2018 4:32,31107,Lamont & Mt Pleasant NW,31281,8th & O St NW,W20295,Member
293,5/1/2018 4:21,5/1/2018 4:26,31706,Fairfax Village,31805,Pennsylvania & Minnesota Ave SE,W22074,Member
677,5/1/2018 4:30,5/1/2018 4:41,31910,Potomac Ave & Main Line Blvd,31098,King St Metro North / Cameron St,W20578,Member
999,5/1/2018 4:36,5/1/2018 4:53,31244,4th & E St SW,31257,22nd & I St NW / Foggy Bottom,W21855,Member
634,5/1/2018 4:39,5/1/2018 4:49,32213,Sunset Hills & Old Reston Ave,32215,Reston Station,W20606,Member
413,5/1/2018 4:39,5/1/2018 4:46,31307,3000 Connecticut Ave NW / National Zoo,31300,Van Ness Metro / UDC,W22644,Member
282,5/1/2018 4:41,5/1/2018 4:46,31503,Florida Ave & R St NW,31600,5th & K St NW,W00149,Member
1120,5/1/2018 4:42,5/1/2018 5:00,31098,King St Metro North / Cameron St,31908,Radford & Osage St,W20578,Member
677,5/1/2018 4:43,5/1/2018 4:54,31509,New Jersey Ave & R St NW,31128,23rd & M St NW,W21735,Member
488,5/1/2018 4:45,5/1/2018 4:53,31512,Neal St & Trinidad Ave NE,31518,New York Ave & Hecht Ave NE,W22483,Member
250,5/1/2018 4:47,5/1/2018 4:51,31108,4th & M St SW,31628,1st & K St SE,W21660,Member
382,5/1/2018 4:52,5/1/2018 4:58,32062,Wheaton Metro/Georgia Ave & Reedie Dr,32066,Windham Ln & Amherst Ave,W01500,Member
443,5/1/2018 4:53,5/1/2018 5:00,31110,20th St & Florida Ave NW,31203,14th & Rhode Island Ave NW,W20840,Member
971,5/1/2018 4:54,5/1/2018 5:10,31296,Columbia & Ontario Rd NW,31314,34th & Water St NW,W01041,Member
902,5/1/2018 4:55,5/1/2018 5:10,31404,9th & Upshur St NW,31227,13th St & New York Ave NW,W23352,Member
668,5/1/2018 4:56,5/1/2018 5:07,31234,20th & O St NW / Dupont South,31624,North Capitol St & F St NW,W00928,Member
454,5/1/2018 4:59,5/1/2018 5:06,31121,Calvert St & Woodley Pl NW,31117,15th & Euclid St  NW,W21636,Member
829,5/1/2018 5:07,5/1/2018 5:21,31115,Columbia Rd & Georgia Ave NW,31239,Rhode Island & Connecticut Ave NW,W21394,Member
739,5/1/2018 5:08,5/1/2018 5:20,31119,14th & Belmont St NW,31621,4th & D St NW / Judiciary Square,W01458,Member
432,5/1/2018 5:09,5/1/2018 5:16,31113,Columbia Rd & Belmont St NW,31213,17th & K St NW,W21164,Member
394,5/1/2018 5:09,5/1/2018 5:16,31618,4th & East Capitol St NE,31218,L'Enfant Plaza / 7th & C St SW,W00969,Member
503,5/1/2018 5:12,5/1/2018 5:20,31088,Mount Vernon Ave & Kennedy St,31047,Braddock Rd Metro,W20686,Member
1155,5/1/2018 5:13,5/1/2018 5:32,31616,3rd & H St NE,31277,17th & G St NW,W20044,Member
291,5/1/2018 5:13,5/1/2018 5:18,31008,12th & Army Navy Dr,31011,23rd & Crystal Dr,W00333,Member
1120,5/1/2018 5:13,5/1/2018 5:32,31018,N Rhodes & 16th St N,31211,Kennedy Center,W21692,Member
407,5/1/2018 5:15,5/1/2018 5:22,31503,Florida Ave & R St NW,31600,5th & K St NW,W20275,Member
815,5/1/2018 5:16,5/1/2018 5:30,31622,13th & D St NE,31244,4th & E St SW,W01389,Member
197,5/1/2018 5:16,5/1/2018 5:20,31123,14th & Girard St NW,31229,New Hampshire Ave & T St NW,W20841,Member
490,5/1/2018 5:17,5/1/2018 5:25,31121,Calvert St & Woodley Pl NW,31124,14th & Irving St NW,W21208,Member
674,5/1/2018 5:18,5/1/2018 5:29,31631,8th & F St NE,31244,4th & E St SW,W01107,Member
378,5/1/2018 5:18,5/1/2018 5:25,31632,15th & F St NE,31623,Columbus Circle / Union Station,W20139,Member
273,5/1/2018 5:19,5/1/2018 5:24,31041,Prince St & Union St,31918,Madison & Fairfax St,W21859,Member
1065,5/1/2018 5:20,5/1/2018 5:37,31266,11th & M St NW,31203,14th & Rhode Island Ave NW,W20142,Casual
1403,5/1/2018 5:20,5/1/2018 5:43,31612,D St & Maryland Ave NE,31268,12th & U St NW,W21517,Member
672,5/1/2018 5:20,5/1/2018 5:31,31117,15th & Euclid St  NW,31241,Thomas Circle,W00709,Member
436,5/1/2018 5:21,5/1/2018 5:28,31266,11th & M St NW,31265,5th St & Massachusetts Ave NW,W20364,Member
885,5/1/2018 5:22,5/1/2018 5:37,31626,15th St & Massachusetts Ave SE,31228,8th & H St NW,W00897,Member
507,5/1/2018 5:24,5/1/2018 5:33,31616,3rd & H St NE,31228,8th & H St NW,W00138,Member
464,5/1/2018 5:25,5/1/2018 5:33,31623,Columbus Circle / Union Station,31256,10th & E St NW,W00873,Member
448,5/1/2018 5:26,5/1/2018 5:33,31227,13th St & New York Ave NW,31624,North Capitol St & F St NW,W23352,Member
389,5/1/2018 5:26,5/1/2018 5:32,31623,Columbus Circle / Union Station,31262,11th & F St NW,W20139,Member
454,5/1/2018 5:27,5/1/2018 5:35,31118,3rd & Elm St NW,31111,10th & U St NW,W21042,Member
957,5/1/2018 5:28,5/1/2018 5:44,31513,Rhode Island Ave & V St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W23460,Member
1115,5/1/2018 5:30,5/1/2018 5:48,31400,Georgia & New Hampshire Ave NW,31314,34th & Water St NW,W21819,Member
784,5/1/2018 5:30,5/1/2018 5:43,31506,1st & Rhode Island Ave NW,31228,8th & H St NW,W21901,Member
591,5/1/2018 5:31,5/1/2018 5:41,31115,Columbia Rd & Georgia Ave NW,31223,Convention Center / 7th & M St NW,W21220,Member
105,5/1/2018 5:32,5/1/2018 5:34,31253,19th & K St NW,31221,18th & M St NW,W01288,Member
617,5/1/2018 5:32,5/1/2018 5:42,31640,Maryland Ave & E St NE,31625,3rd & G St SE,W00418,Member
475,5/1/2018 5:33,5/1/2018 5:41,31615,6th & H St NE,31265,5th St & Massachusetts Ave NW,W20934,Member
608,5/1/2018 5:34,5/1/2018 5:44,31104,Adams Mill & Columbia Rd NW,31239,Rhode Island & Connecticut Ave NW,W20808,Member
558,5/1/2018 5:34,5/1/2018 5:44,31203,14th & Rhode Island Ave NW,31128,23rd & M St NW,W23430,Casual
293,5/1/2018 5:35,5/1/2018 5:40,31213,17th & K St NW,31283,14th & L St NW,W21164,Member
1732,5/1/2018 5:35,5/1/2018 6:04,31225,C & O Canal & Wisconsin Ave NW,31602,Park Rd & Holmead Pl NW,W01369,Member
1240,5/1/2018 5:36,5/1/2018 5:56,31401,14th St & Spring Rd NW,31293,31st & Water St NW,W22870,Member
360,5/1/2018 5:36,5/1/2018 5:42,31278,18th & R St NW,31276,15th & L St NW,W22699,Casual
622,5/1/2018 5:37,5/1/2018 5:47,31200,Massachusetts Ave & Dupont Circle NW,31314,34th & Water St NW,W01138,Member
846,5/1/2018 5:37,5/1/2018 5:51,31622,13th & D St NE,31243,4th & C St SW,W20572,Member
524,5/1/2018 5:39,5/1/2018 5:47,31268,12th & U St NW,31263,10th & K St NW,W23029,Member
352,5/1/2018 5:39,5/1/2018 5:45,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00886,Member
325,5/1/2018 5:39,5/1/2018 5:45,31642,New Jersey Ave & L St NW,31621,4th & D St NW / Judiciary Square,W20634,Member
1070,5/1/2018 5:39,5/1/2018 5:57,31103,16th & Harvard St NW,31314,34th & Water St NW,W20454,Member
627,5/1/2018 5:39,5/1/2018 5:50,31122,16th & Irving St NW,31212,21st & M St NW,W22101,Member
464,5/1/2018 5:40,5/1/2018 5:47,31236,37th & O St NW / Georgetown University,31212,21st & M St NW,W22409,Member
289,5/1/2018 5:40,5/1/2018 5:44,31319,Wisconsin Ave & Brandywine St NW,32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,W20518,Member
213,5/1/2018 5:41,5/1/2018 5:45,31627,3rd & M St NE,31615,6th & H St NE,W21898,Member
262,5/1/2018 5:42,5/1/2018 5:46,31266,11th & M St NW,31254,15th & K St NW,W20490,Member
708,5/1/2018 5:43,5/1/2018 5:54,31619,Lincoln Park / 13th & East Capitol St NE ,31634,3rd & Tingey St SE,W22378,Member
549,5/1/2018 5:43,5/1/2018 5:53,31647,7th St & Massachusetts Ave NE,31628,1st & K St SE,W22955,Member
371,5/1/2018 5:44,5/1/2018 5:50,31203,14th & Rhode Island Ave NW,31228,8th & H St NW,W21292,Member
477,5/1/2018 5:44,5/1/2018 5:52,31124,14th & Irving St NW,31121,Calvert St & Woodley Pl NW,W21208,Member
1145,5/1/2018 5:45,5/1/2018 6:04,31511,12th & Irving St NE,31228,8th & H St NW,W23360,Member
401,5/1/2018 5:46,5/1/2018 5:53,31632,15th & F St NE,31623,Columbus Circle / Union Station,W22277,Member
331,5/1/2018 5:46,5/1/2018 5:52,31113,Columbia Rd & Belmont St NW,31255,24th & N St NW,W21468,Member
1206,5/1/2018 5:47,5/1/2018 6:08,31400,Georgia & New Hampshire Ave NW,31275,New Hampshire Ave & 24th St NW,W22294,Member
178,5/1/2018 5:48,5/1/2018 5:51,31089,Court House Metro / 15th & N Uhle St ,31016,Clarendon Blvd & Pierce St,W20268,Member
1324,5/1/2018 5:49,5/1/2018 6:11,31610,Eastern Market / 7th & North Carolina Ave SE,31221,18th & M St NW,W22768,Member
125,5/1/2018 5:49,5/1/2018 5:51,31013,Eads & 22nd St S,31007,Crystal City Metro / 18th & Bell St,W01483,Member
728,5/1/2018 5:49,5/1/2018 6:02,31120,10th & Florida Ave NW,31505,Eckington Pl & Q St NE,W23405,Member
851,5/1/2018 5:49,5/1/2018 6:04,31502,John McCormack Dr & Michigan Ave NE,31115,Columbia Rd & Georgia Ave NW,W00629,Member
493,5/1/2018 5:50,5/1/2018 5:59,31117,15th & Euclid St  NW,31298,15th & M St NW,W21636,Member
482,5/1/2018 5:51,5/1/2018 5:59,31229,New Hampshire Ave & T St NW,31222,New York Ave & 15th St NW,W23300,Member
272,5/1/2018 5:51,5/1/2018 5:55,31640,Maryland Ave & E St NE,31623,Columbus Circle / Union Station,W20307,Member
584,5/1/2018 5:51,5/1/2018 6:01,31640,Maryland Ave & E St NE,31219,10th St & Constitution Ave NW,W22987,Member
653,5/1/2018 5:52,5/1/2018 6:03,31281,8th & O St NW,31223,Convention Center / 7th & M St NW,W01468,Member
291,5/1/2018 5:52,5/1/2018 5:57,31038,Glebe Rd & 11th St N,31039,Wilson Blvd & N Quincy St,W22261,Member
384,5/1/2018 5:52,5/1/2018 5:58,31509,New Jersey Ave & R St NW,31604,3rd & H St NW,W00646,Member
147,5/1/2018 5:52,5/1/2018 5:55,32026,Carroll & Ethan Allen Ave,32025,Carroll & Westmoreland Ave,W23387,Member
559,5/1/2018 5:52,5/1/2018 6:02,31623,Columbus Circle / Union Station,31217,USDA / 12th & C St SW,W20995,Member
548,5/1/2018 5:53,5/1/2018 6:02,31623,Columbus Circle / Union Station,31208,M St & New Jersey Ave SE,W22800,Member
689,5/1/2018 5:53,5/1/2018 6:04,31051,Arlington Blvd & N Queen St,31258,Lincoln Memorial,W22413,Member
413,5/1/2018 5:53,5/1/2018 6:00,31623,Columbus Circle / Union Station,31262,11th & F St NW,W20599,Member
559,5/1/2018 5:53,5/1/2018 6:03,31124,14th & Irving St NW,31128,23rd & M St NW,W20823,Member
152,5/1/2018 5:54,5/1/2018 5:57,31125,15th & W St NW,31268,12th & U St NW,W21447,Member
451,5/1/2018 5:55,5/1/2018 6:02,31622,13th & D St NE,31623,Columbus Circle / Union Station,W01116,Member
562,5/1/2018 5:55,5/1/2018 6:04,31624,North Capitol St & F St NW,31231,14th & D St NW / Ronald Reagan Building,W23352,Member
712,5/1/2018 5:55,5/1/2018 6:07,31623,Columbus Circle / Union Station,31222,New York Ave & 15th St NW,W00581,Member
249,5/1/2018 5:55,5/1/2018 6:00,31266,11th & M St NW,31230,Metro Center / 12th & G St NW,W21885,Member
419,5/1/2018 5:56,5/1/2018 6:03,31244,4th & E St SW,31634,3rd & Tingey St SE,W22537,Member
429,5/1/2018 5:56,5/1/2018 6:04,31124,14th & Irving St NW,31229,New Hampshire Ave & T St NW,W00089,Member
289,5/1/2018 5:57,5/1/2018 6:02,31267,17th St & Massachusetts Ave NW,31213,17th & K St NW,W23084,Member
176,5/1/2018 5:57,5/1/2018 6:00,32068,Columbus Ave & Tribeca St,32067,Shady Grove Metro East,W23210,Member
1628,5/1/2018 5:57,5/1/2018 6:24,31516,Rhode Island Ave Metro,31127,22nd & H St NW,W22839,Member
632,5/1/2018 5:58,5/1/2018 6:08,31268,12th & U St NW,31621,4th & D St NW / Judiciary Square,W21447,Member
484,5/1/2018 5:59,5/1/2018 6:07,31401,14th St & Spring Rd NW,31101,14th & V St NW,W23026,Member
1529,5/1/2018 5:59,5/1/2018 6:24,31270,8th & D St NW,31270,8th & D St NW,W21812,Member
170,5/1/2018 6:00,5/1/2018 6:03,31631,8th & F St NE,31623,Columbus Circle / Union Station,W23456,Member
182,5/1/2018 6:00,5/1/2018 6:03,31051,Arlington Blvd & N Queen St,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,W01182,Member
1368,5/1/2018 6:00,5/1/2018 6:23,31510,18th St & Rhode Island Ave NE,31628,1st & K St SE,W20522,Member
1483,5/1/2018 6:00,5/1/2018 6:25,31625,3rd & G St SE,31120,10th & Florida Ave NW,W00418,Member
267,5/1/2018 6:01,5/1/2018 6:05,31202,14th & R St NW,31268,12th & U St NW,W01178,Member
380,5/1/2018 6:01,5/1/2018 6:07,31102,11th & Kenyon St NW,31116,California St & Florida Ave NW,W20554,Member
1140,5/1/2018 6:02,5/1/2018 6:21,31611,13th & H St NE,31287,10th St & L'Enfant Plaza SW,W22389,Member
390,5/1/2018 6:02,5/1/2018 6:09,31302,Wisconsin Ave & Newark St NW,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,W22907,Member
374,5/1/2018 6:02,5/1/2018 6:09,31604,3rd & H St NW,31263,10th & K St NW,W22710,Member
945,5/1/2018 6:02,5/1/2018 6:18,31125,15th & W St NW,31624,North Capitol St & F St NW,W01327,Member
1363,5/1/2018 6:03,5/1/2018 6:26,31277,17th & G St NW,31627,3rd & M St NE,W20044,Member
666,5/1/2018 6:03,5/1/2018 6:14,31126,11th & Girard St NW,31223,Convention Center / 7th & M St NW,W00116,Member
2608,5/1/2018 6:04,5/1/2018 6:47,31115,Columbia Rd & Georgia Ave NW,31503,Florida Ave & R St NW,W22412,Member
903,5/1/2018 6:04,5/1/2018 6:19,31513,Rhode Island Ave & V St NE,31269,3rd St & Pennsylvania Ave SE,W23063,Member
1077,5/1/2018 6:05,5/1/2018 6:22,31603,1st & M St NE,31127,22nd & H St NW,W23463,Member
911,5/1/2018 6:05,5/1/2018 6:20,31258,Lincoln Memorial,31621,4th & D St NW / Judiciary Square,W22413,Member
287,5/1/2018 6:05,5/1/2018 6:10,31286,11th & O St NW,31227,13th St & New York Ave NW,W01425,Member
1050,5/1/2018 6:05,5/1/2018 6:23,31229,New Hampshire Ave & T St NW,31621,4th & D St NW / Judiciary Square,W21289,Member
843,5/1/2018 6:05,5/1/2018 6:19,31055,28th St S & S Meade St,31011,23rd & Crystal Dr,W21370,Member
168,5/1/2018 6:05,5/1/2018 6:08,31283,14th & L St NW,31203,14th & Rhode Island Ave NW,W21164,Member
1015,5/1/2018 6:06,5/1/2018 6:22,31229,New Hampshire Ave & T St NW,31621,4th & D St NW / Judiciary Square,W20009,Member
